train_start,train_end,test_start,test_end,window_size,yqtr
2010-01-01,2012-12-31,2013-01-01,2013-03-31,3y,2012-q4
2010-04-01,2013-03-31,2013-04-01,2013-06-30,3y,2013-q1
2010-07-01,2013-06-30,2013-07-01,2013-09-30,3y,2013-q2
2010-10-01,2013-09-30,2013-10-01,2013-12-31,3y,2013-q3
2011-01-01,2013-12-31,2014-01-01,2014-03-31,3y,2013-q4
2011-04-01,2014-03-31,2014-04-01,2014-06-30,3y,2014-q1
2011-07-01,2014-06-30,2014-07-01,2014-09-30,3y,2014-q2
2011-10-01,2014-09-30,2014-10-01,2014-12-31,3y,2014-q3
2012-01-01,2014-12-31,2015-01-01,2015-03-31,3y,2014-q4
2012-04-01,2015-03-31,2015-04-01,2015-06-30,3y,2015-q1
2012-07-01,2015-06-30,2015-07-01,2015-09-30,3y,2015-q2
2012-10-01,2015-09-30,2015-10-01,2015-12-31,3y,2015-q3
2013-01-01,2015-12-31,2016-01-01,2016-03-31,3y,2015-q4
2013-04-01,2016-03-31,2016-04-01,2016-06-30,3y,2016-q1
2013-07-01,2016-06-30,2016-07-01,2016-09-30,3y,2016-q2
2013-10-01,2016-09-30,2016-10-01,2016-12-31,3y,2016-q3
2014-01-01,2016-12-31,2017-01-01,2017-03-31,3y,2016-q4
2014-04-01,2017-03-31,2017-04-01,2017-06-30,3y,2017-q1
2014-07-01,2017-06-30,2017-07-01,2017-09-30,3y,2017-q2
2014-10-01,2017-09-30,2017-10-01,2017-12-31,3y,2017-q3
2015-01-01,2017-12-31,2018-01-01,2018-03-31,3y,2017-q4
2015-04-01,2018-03-31,2018-04-01,2018-06-30,3y,2018-q1
2015-07-01,2018-06-30,2018-07-01,2018-09-30,3y,2018-q2
2015-10-01,2018-09-30,2018-10-01,2018-12-31,3y,2018-q3
2008-01-01,2011-12-31,2012-01-01,2012-03-31,4y,2011-q4
2008-04-01,2012-03-31,2012-04-01,2012-06-30,4y,2012-q1
2008-07-01,2012-06-30,2012-07-01,2012-09-30,4y,2012-q2
2008-10-01,2012-09-30,2012-10-01,2012-12-31,4y,2012-q3
2009-01-01,2012-12-31,2013-01-01,2013-03-31,4y,2012-q4
2009-04-01,2013-03-31,2013-04-01,2013-06-30,4y,2013-q1
2009-07-01,2013-06-30,2013-07-01,2013-09-30,4y,2013-q2
2009-10-01,2013-09-30,2013-10-01,2013-12-31,4y,2013-q3
2010-01-01,2013-12-31,2014-01-01,2014-03-31,4y,2013-q4
2010-04-01,2014-03-31,2014-04-01,2014-06-30,4y,2014-q1
2010-07-01,2014-06-30,2014-07-01,2014-09-30,4y,2014-q2
2010-10-01,2014-09-30,2014-10-01,2014-12-31,4y,2014-q3
2011-01-01,2014-12-31,2015-01-01,2015-03-31,4y,2014-q4
2011-04-01,2015-03-31,2015-04-01,2015-06-30,4y,2015-q1
2011-07-01,2015-06-30,2015-07-01,2015-09-30,4y,2015-q2
2011-10-01,2015-09-30,2015-10-01,2015-12-31,4y,2015-q3
2012-01-01,2015-12-31,2016-01-01,2016-03-31,4y,2015-q4
2012-04-01,2016-03-31,2016-04-01,2016-06-30,4y,2016-q1
2012-07-01,2016-06-30,2016-07-01,2016-09-30,4y,2016-q2
2012-10-01,2016-09-30,2016-10-01,2016-12-31,4y,2016-q3
2013-01-01,2016-12-31,2017-01-01,2017-03-31,4y,2016-q4
2013-04-01,2017-03-31,2017-04-01,2017-06-30,4y,2017-q1
2013-07-01,2017-06-30,2017-07-01,2017-09-30,4y,2017-q2
2013-10-01,2017-09-30,2017-10-01,2017-12-31,4y,2017-q3
2014-01-01,2017-12-31,2018-01-01,2018-03-31,4y,2017-q4
2014-04-01,2018-03-31,2018-04-01,2018-06-30,4y,2018-q1
2014-07-01,2018-06-30,2018-07-01,2018-09-30,4y,2018-q2
2014-10-01,2018-09-30,2018-10-01,2018-12-31,4y,2018-q3
2008-01-01,2012-12-31,2013-01-01,2013-03-31,5y,2012-q4
2008-04-01,2013-03-31,2013-04-01,2013-06-30,5y,2013-q1
2008-07-01,2013-06-30,2013-07-01,2013-09-30,5y,2013-q2
2008-10-01,2013-09-30,2013-10-01,2013-12-31,5y,2013-q3
2009-01-01,2013-12-31,2014-01-01,2014-03-31,5y,2013-q4
2009-04-01,2014-03-31,2014-04-01,2014-06-30,5y,2014-q1
2009-07-01,2014-06-30,2014-07-01,2014-09-30,5y,2014-q2
2009-10-01,2014-09-30,2014-10-01,2014-12-31,5y,2014-q3
2010-01-01,2014-12-31,2015-01-01,2015-03-31,5y,2014-q4
2010-04-01,2015-03-31,2015-04-01,2015-06-30,5y,2015-q1
2010-07-01,2015-06-30,2015-07-01,2015-09-30,5y,2015-q2
2010-10-01,2015-09-30,2015-10-01,2015-12-31,5y,2015-q3
2011-01-01,2015-12-31,2016-01-01,2016-03-31,5y,2015-q4
2011-04-01,2016-03-31,2016-04-01,2016-06-30,5y,2016-q1
2011-07-01,2016-06-30,2016-07-01,2016-09-30,5y,2016-q2
2011-10-01,2016-09-30,2016-10-01,2016-12-31,5y,2016-q3
2012-01-01,2016-12-31,2017-01-01,2017-03-31,5y,2016-q4
2012-04-01,2017-03-31,2017-04-01,2017-06-30,5y,2017-q1
2012-07-01,2017-06-30,2017-07-01,2017-09-30,5y,2017-q2
2012-10-01,2017-09-30,2017-10-01,2017-12-31,5y,2017-q3
2013-01-01,2017-12-31,2018-01-01,2018-03-31,5y,2017-q4
2013-04-01,2018-03-31,2018-04-01,2018-06-30,5y,2018-q1
2013-07-01,2018-06-30,2018-07-01,2018-09-30,5y,2018-q2
2013-10-01,2018-09-30,2018-10-01,2018-12-31,5y,2018-q3
2008-01-01,2013-12-31,2014-01-01,2014-03-31,6y,2013-q4
2008-04-01,2014-03-31,2014-04-01,2014-06-30,6y,2014-q1
2008-07-01,2014-06-30,2014-07-01,2014-09-30,6y,2014-q2
2008-10-01,2014-09-30,2014-10-01,2014-12-31,6y,2014-q3
2009-01-01,2014-12-31,2015-01-01,2015-03-31,6y,2014-q4
2009-04-01,2015-03-31,2015-04-01,2015-06-30,6y,2015-q1
2009-07-01,2015-06-30,2015-07-01,2015-09-30,6y,2015-q2
2009-10-01,2015-09-30,2015-10-01,2015-12-31,6y,2015-q3
2010-01-01,2015-12-31,2016-01-01,2016-03-31,6y,2015-q4
2010-04-01,2016-03-31,2016-04-01,2016-06-30,6y,2016-q1
2010-07-01,2016-06-30,2016-07-01,2016-09-30,6y,2016-q2
2010-10-01,2016-09-30,2016-10-01,2016-12-31,6y,2016-q3
2011-01-01,2016-12-31,2017-01-01,2017-03-31,6y,2016-q4
2011-04-01,2017-03-31,2017-04-01,2017-06-30,6y,2017-q1
2011-07-01,2017-06-30,2017-07-01,2017-09-30,6y,2017-q2
2011-10-01,2017-09-30,2017-10-01,2017-12-31,6y,2017-q3
2012-01-01,2017-12-31,2018-01-01,2018-03-31,6y,2017-q4
2012-04-01,2018-03-31,2018-04-01,2018-06-30,6y,2018-q1
2012-07-01,2018-06-30,2018-07-01,2018-09-30,6y,2018-q2
2012-10-01,2018-09-30,2018-10-01,2018-12-31,6y,2018-q3
2008-01-01,2014-12-31,2015-01-01,2015-03-31,7y,2014-q4
2008-04-01,2015-03-31,2015-04-01,2015-06-30,7y,2015-q1
2008-07-01,2015-06-30,2015-07-01,2015-09-30,7y,2015-q2
2008-10-01,2015-09-30,2015-10-01,2015-12-31,7y,2015-q3
2009-01-01,2015-12-31,2016-01-01,2016-03-31,7y,2015-q4
2009-04-01,2016-03-31,2016-04-01,2016-06-30,7y,2016-q1
